timestamp,object_id,size_gb,data_type,reads_last_7d,recency_days,cost_per_gb,latency_requirement_ms,cloud_location,future_tier_label
2025-02-20T00:00:00.000,OBJ_1358,5.94,GENERAL_USER,413,0,0.037,110,ap-southeast-1,HOT
2025-05-19T00:00:00.000,OBJ_0906,7.1,GENERAL_USER,45,0,0.0288,24,us-west-2,WARM
2025-07-31T00:00:00.000,OBJ_0247,20.49,LOGS,7,2,0.0112,71,us-east-1,WARM
2025-04-24T00:00:00.000,OBJ_0157,111.14,DB_TRANS,1,0,0.0859,36,us-east-1,WARM
2025-07-09T00:00:00.000,OBJ_0563,33.48,DB_TRANS,12,2,0.0838,12,us-east-1,WARM
2025-07-14T00:00:00.000,OBJ_1482,728.11,LOGS,20,3,0.0139,58,us-west-2,WARM
2025-05-15T00:00:00.000,OBJ_1379,844.73,DB_TRANS,67,0,0.0629,15,us-west-2,WARM
2025-08-13T00:00:00.000,OBJ_0948,50.99,LOGS,12,2,0.0181,124,us-west-2,WARM
2025-05-06T00:00:00.000,OBJ_0229,151.32,GENERAL_USER,22,2,0.0124,38,us-west-2,WARM
2025-06-18T00:00:00.000,OBJ_1292,54.1,LOGS,8,1,0.0133,149,us-west-2,WARM
2025-07-30T00:00:00.000,OBJ_0027,95.92,LOGS,9,2,0.0057,126,us-west-2,WARM
2025-08-08T00:00:00.000,OBJ_0917,72.23,GENERAL_USER,5,0,0.0138,132,ap-southeast-1,WARM
2025-01-05T00:00:00.000,OBJ_1376,20.01,ARCHIVE_DOC,294,0,0.0056,130,ap-southeast-1,HOT
2025-07-03T00:00:00.000,OBJ_0570,56.13,GENERAL_USER,16,0,0.0222,63,us-east-1,WARM
2025-04-27T00:00:00.000,OBJ_0992,37.68,ARCHIVE_DOC,422,0,0.0066,389,us-east-1,HOT
2025-07-22T00:00:00.000,OBJ_0454,24.65,LOGS,8,0,0.0064,76,eu-west-1,WARM
2025-04-24T00:00:00.000,OBJ_0784,126.43,GENERAL_USER,12,0,0.0494,135,us-east-1,WARM
2025-08-20T00:00:00.000,OBJ_1153,7.5,LOGS,14,0,0.0073,138,us-east-1,WARM
2025-05-07T00:00:00.000,OBJ_0407,44.1,LOGS,292,0,0.0176,95,eu-west-1,HOT
2025-06-01T00:00:00.000,OBJ_1317,34.54,LOGS,24,0,0.0054,144,us-east-1,WARM
2025-05-02T00:00:00.000,OBJ_0105,100.09,DB_TRANS,14,2,0.0917,14,us-east-1,WARM
2025-06-11T00:00:00.000,OBJ_0154,84.74,ARCHIVE_DOC,9,1,0.0018,359,ap-southeast-1,WARM
2025-04-27T00:00:00.000,OBJ_1046,145.25,ARCHIVE_DOC,39,0,0.0024,253,us-east-1,WARM
2025-08-21T00:00:00.000,OBJ_0435,61.02,GENERAL_USER,7,0,0.0165,65,eu-west-1,WARM
2025-05-28T00:00:00.000,OBJ_0608,3.79,LOGS,5,3,0.016,93,us-east-1,WARM
2025-04-30T00:00:00.000,OBJ_0707,759.14,DB_TRANS,18,1,0.0984,8,us-west-2,WARM
2025-06-27T00:00:00.000,OBJ_0990,74.63,GENERAL_USER,21,0,0.0342,99,us-east-1,WARM
2025-01-27T00:00:00.000,OBJ_0589,15.12,LOGS,79,0,0.0054,113,us-east-1,HOT
2025-06-16T00:00:00.000,OBJ_0051,30.64,DB_TRANS,19,0,0.0207,24,eu-west-1,WARM
2025-06-14T00:00:00.000,OBJ_1316,11.05,DB_TRANS,27,0,0.0763,44,us-east-1,WARM
2025-05-27T00:00:00.000,OBJ_0578,5.94,DB_TRANS,23,0,0.105,10,us-east-1,WARM
2025-07-14T00:00:00.000,OBJ_0558,98.66,DB_TRANS,11,0,0.0786,36,us-west-2,WARM
2025-05-15T00:00:00.000,OBJ_0628,59.36,DB_TRANS,18,0,0.0755,11,ap-southeast-1,WARM
2025-06-28T00:00:00.000,OBJ_0312,188.32,DB_TRANS,8,2,0.0433,49,us-east-1,WARM
2025-06-26T00:00:00.000,OBJ_0766,51.81,LOGS,5,6,0.0078,106,us-east-1,WARM
2025-06-21T00:00:00.000,OBJ_0646,0.96,DB_TRANS,8,0,0.0205,30,us-west-2,WARM
2025-03-18T00:00:00.000,OBJ_0770,157.85,LOGS,483,0,0.0086,125,us-east-1,HOT
2025-03-26T00:00:00.000,OBJ_0312,188.32,DB_TRANS,202,0,0.0433,49,us-east-1,HOT
2025-05-02T00:00:00.000,OBJ_0470,36.14,LOGS,115,0,0.0111,138,us-east-1,WARM
2025-07-16T00:00:00.000,OBJ_1039,262.6,LOGS,5,0,0.0069,94,us-east-1,WARM
2025-06-04T00:00:00.000,OBJ_0436,628.24,DB_TRANS,75,0,0.0325,5,us-east-1,WARM
2025-07-10T00:00:00.000,OBJ_1499,132.79,LOGS,11,1,0.0149,80,ap-southeast-1,WARM
2025-08-21T00:00:00.000,OBJ_1436,37.6,LOGS,30,2,0.0083,87,eu-west-1,WARM
2025-03-20T00:00:00.000,OBJ_1343,325.7,ARCHIVE_DOC,80,0,0.005,207,us-west-2,HOT
2025-07-19T00:00:00.000,OBJ_1248,77.53,DB_TRANS,3,0,0.1088,23,eu-west-1,WARM
2025-07-24T00:00:00.000,OBJ_0444,7.72,GENERAL_USER,22,1,0.0194,194,us-west-2,WARM
2025-05-29T00:00:00.000,OBJ_0297,86.57,GENERAL_USER,83,0,0.0417,93,ap-southeast-1,WARM
2025-06-26T00:00:00.000,OBJ_0502,6.7,DB_TRANS,33,1,0.1121,35,eu-west-1,WARM
2025-05-04T00:00:00.000,OBJ_0174,82.68,LOGS,11,4,0.0075,82,ap-southeast-1,WARM
2025-06-18T00:00:00.000,OBJ_0235,141.3,LOGS,51,0,0.0171,80,us-east-1,WARM
2025-07-24T00:00:00.000,OBJ_0430,9.25,LOGS,8,4,0.0189,99,us-west-2,WARM
2025-03-22T00:00:00.000,OBJ_1165,2120.97,ARCHIVE_DOC,146,0,0.007,204,us-east-1,HOT
2025-04-23T00:00:00.000,OBJ_0891,116.85,LOGS,58,0,0.0193,143,ap-southeast-1,WARM
2025-06-09T00:00:00.000,OBJ_1136,325.12,LOGS,42,0,0.0119,67,us-west-2,WARM
2025-03-14T00:00:00.000,OBJ_0053,136.66,ARCHIVE_DOC,25,0,0.0057,161,us-east-1,WARM
2025-06-25T00:00:00.000,OBJ_0631,541.49,LOGS,21,1,0.0173,120,eu-west-1,WARM
2025-07-25T00:00:00.000,OBJ_0536,15.02,GENERAL_USER,18,0,0.0301,53,ap-southeast-1,COLD
2025-06-03T00:00:00.000,OBJ_0484,17.56,LOGS,6,2,0.0055,136,us-west-2,WARM
2025-06-24T00:00:00.000,OBJ_1069,91.81,GENERAL_USER,19,0,0.0248,177,us-east-1,WARM
2025-07-31T00:00:00.000,OBJ_0757,72.04,DB_TRANS,15,3,0.113,48,us-west-2,WARM
2025-06-21T00:00:00.000,OBJ_1116,2008.46,LOGS,15,1,0.0071,125,us-east-1,WARM
2025-04-27T00:00:00.000,OBJ_1184,12.37,LOGS,23,1,0.0076,104,us-east-1,WARM
2025-04-26T00:00:00.000,OBJ_1354,22.99,LOGS,30,2,0.0181,127,us-west-2,WARM
2025-08-03T00:00:00.000,OBJ_0836,558.78,GENERAL_USER,17,1,0.0399,45,us-west-2,WARM
2025-08-15T00:00:00.000,OBJ_1487,3.89,LOGS,2,0,0.012,72,us-east-1,WARM
2025-04-08T00:00:00.000,OBJ_1203,123.34,LOGS,93,0,0.0157,122,us-east-1,WARM
2025-05-27T00:00:00.000,OBJ_0051,30.64,DB_TRANS,3,0,0.0207,24,eu-west-1,WARM
2025-08-12T00:00:00.000,OBJ_0243,200.06,DB_TRANS,17,0,0.0731,27,us-east-1,WARM
2025-08-05T00:00:00.000,OBJ_0974,27.96,LOGS,1,4,0.0098,138,ap-southeast-1,WARM
2025-04-18T00:00:00.000,OBJ_1348,7.03,DB_TRANS,10,1,0.0618,9,ap-southeast-1,WARM
2025-08-14T00:00:00.000,OBJ_0439,50.23,LOGS,17,0,0.0145,93,eu-west-1,WARM
2025-08-04T00:00:00.000,OBJ_1480,161.35,LOGS,7,0,0.0113,131,us-east-1,WARM
2025-06-16T00:00:00.000,OBJ_0102,32.65,LOGS,15,0,0.009,147,us-west-2,WARM
2025-07-18T00:00:00.000,OBJ_0198,59.58,ARCHIVE_DOC,16,0,0.0024,120,us-east-1,WARM
2025-08-12T00:00:00.000,OBJ_0986,520.66,GENERAL_USER,27,1,0.0223,157,us-west-2,WARM
2025-07-04T00:00:00.000,OBJ_0743,56.78,DB_TRANS,26,3,0.0201,35,eu-west-1,WARM
2025-03-18T00:00:00.000,OBJ_1433,22.77,DB_TRANS,235,0,0.0358,8,us-west-2,HOT
2025-03-29T00:00:00.000,OBJ_0760,23.02,DB_TRANS,98,0,0.0912,44,ap-southeast-1,HOT
2025-04-11T00:00:00.000,OBJ_1018,33.77,GENERAL_USER,15,2,0.0097,140,us-west-2,WARM
2025-07-25T00:00:00.000,OBJ_1158,238.09,LOGS,14,0,0.0115,123,us-west-2,WARM
2025-06-20T00:00:00.000,OBJ_0899,16.03,GENERAL_USER,16,1,0.0299,125,ap-southeast-1,WARM
2025-03-25T00:00:00.000,OBJ_0726,56.13,LOGS,210,0,0.0087,98,us-east-1,HOT
2025-04-13T00:00:00.000,OBJ_0627,45.21,LOGS,315,0,0.0063,138,ap-southeast-1,HOT
2025-02-02T00:00:00.000,OBJ_1038,76.45,LOGS,409,0,0.0116,110,ap-southeast-1,HOT
2025-04-16T00:00:00.000,OBJ_0811,28.23,LOGS,105,0,0.0052,107,us-west-2,HOT
2025-07-12T00:00:00.000,OBJ_0638,7.89,LOGS,0,0,0.0166,133,us-west-2,WARM
2025-06-25T00:00:00.000,OBJ_0347,6.61,LOGS,6,2,0.0088,67,us-east-1,WARM
2025-05-19T00:00:00.000,OBJ_1086,256.06,DB_TRANS,84,0,0.0965,35,us-east-1,HOT
2025-07-10T00:00:00.000,OBJ_0251,216.33,ARCHIVE_DOC,33,0,0.0071,238,us-west-2,WARM
2025-04-04T00:00:00.000,OBJ_1396,7.24,LOGS,133,0,0.013,63,us-west-2,HOT
2025-03-30T00:00:00.000,OBJ_1379,844.73,DB_TRANS,151,0,0.0629,15,us-west-2,HOT
2025-05-11T00:00:00.000,OBJ_0745,18.38,GENERAL_USER,9,1,0.0286,79,us-west-2,WARM
2025-02-26T00:00:00.000,OBJ_0437,6.89,DB_TRANS,48,0,0.0705,29,eu-west-1,WARM
2025-08-21T00:00:00.000,OBJ_0120,178.85,DB_TRANS,14,1,0.0784,32,eu-west-1,WARM
2025-06-17T00:00:00.000,OBJ_0453,116.29,DB_TRANS,19,0,0.0373,27,us-east-1,WARM
2025-04-12T00:00:00.000,OBJ_1348,7.03,DB_TRANS,27,3,0.0618,9,ap-southeast-1,WARM
2025-03-26T00:00:00.000,OBJ_0392,7.54,DB_TRANS,43,0,0.0788,49,us-east-1,WARM
2025-07-15T00:00:00.000,OBJ_0322,16.0,LOGS,18,0,0.0099,74,us-east-1,WARM
2025-06-27T00:00:00.000,OBJ_1426,1193.1,DB_TRANS,36,1,0.029,15,eu-west-1,WARM
2025-07-18T00:00:00.000,OBJ_0650,874.31,LOGS,10,0,0.011,84,us-east-1,WARM
2025-07-31T00:00:00.000,OBJ_0679,367.72,LOGS,15,0,0.0105,72,us-west-2,WARM
2025-06-22T00:00:00.000,OBJ_1079,195.46,LOGS,18,0,0.01,97,ap-southeast-1,WARM
2025-03-28T00:00:00.000,OBJ_0629,281.83,LOGS,287,0,0.017,100,ap-southeast-1,HOT
2025-05-16T00:00:00.000,OBJ_1254,344.3,LOGS,32,0,0.0068,119,eu-west-1,COLD
2025-03-29T00:00:00.000,OBJ_0245,33.06,LOGS,16,0,0.018,85,us-west-2,WARM
2025-05-21T00:00:00.000,OBJ_0118,303.15,GENERAL_USER,36,0,0.0261,97,eu-west-1,WARM
2025-04-14T00:00:00.000,OBJ_0534,20.54,LOGS,65,0,0.0052,63,us-west-2,HOT
2025-02-06T00:00:00.000,OBJ_1150,12.34,DB_TRANS,234,0,0.0344,15,us-east-1,HOT
2025-04-26T00:00:00.000,OBJ_0964,47.72,LOGS,15,0,0.0193,104,us-east-1,WARM
2025-07-13T00:00:00.000,OBJ_0568,3.3,LOGS,9,2,0.0105,133,us-east-1,WARM
2025-08-09T00:00:00.000,OBJ_0184,39.05,GENERAL_USER,9,0,0.0404,21,us-west-2,WARM
2025-08-19T00:00:00.000,OBJ_0103,16.39,LOGS,30,1,0.0195,77,us-west-2,WARM
2025-05-21T00:00:00.000,OBJ_0565,29.6,ARCHIVE_DOC,9,4,0.0057,382,us-east-1,WARM
2025-04-17T00:00:00.000,OBJ_0729,16.99,LOGS,20,0,0.0127,120,eu-west-1,WARM
2025-03-24T00:00:00.000,OBJ_0760,23.02,DB_TRANS,135,0,0.0912,44,ap-southeast-1,HOT
2025-05-31T00:00:00.000,OBJ_1364,328.61,DB_TRANS,29,2,0.0662,17,us-east-1,WARM
2025-05-23T00:00:00.000,OBJ_0629,281.83,LOGS,40,0,0.017,100,ap-southeast-1,WARM
2025-05-01T00:00:00.000,OBJ_1208,6.66,LOGS,42,0,0.0089,140,us-east-1,WARM
2025-04-09T00:00:00.000,OBJ_0862,556.27,GENERAL_USER,36,0,0.0409,50,eu-west-1,COLD
2025-05-07T00:00:00.000,OBJ_1206,19.05,DB_TRANS,87,0,0.0802,47,us-east-1,WARM
2025-02-06T00:00:00.000,OBJ_1493,72.01,DB_TRANS,147,0,0.0982,31,us-east-1,HOT
2025-03-25T00:00:00.000,OBJ_0303,136.4,LOGS,33,0,0.0127,130,us-east-1,WARM
2025-08-12T00:00:00.000,OBJ_0031,878.68,LOGS,17,1,0.0195,105,ap-southeast-1,WARM
2025-05-23T00:00:00.000,OBJ_1439,164.4,ARCHIVE_DOC,118,0,0.0078,447,eu-west-1,HOT
2025-08-07T00:00:00.000,OBJ_0508,58.72,DB_TRANS,11,1,0.0694,50,us-east-1,COLD
2025-05-03T00:00:00.000,OBJ_0553,79.97,LOGS,381,0,0.0186,119,us-east-1,HOT
2025-07-24T00:00:00.000,OBJ_0872,6.9,DB_TRANS,31,0,0.1179,26,us-west-2,WARM
2025-03-03T00:00:00.000,OBJ_0619,76.39,GENERAL_USER,218,0,0.0097,150,us-east-1,HOT
2025-06-15T00:00:00.000,OBJ_0347,6.61,LOGS,24,0,0.0088,67,us-east-1,WARM
2025-02-16T00:00:00.000,OBJ_0933,2.02,LOGS,0,0,0.0164,135,us-west-2,HOT
2025-06-20T00:00:00.000,OBJ_0361,544.09,LOGS,48,0,0.0068,138,us-east-1,WARM
2025-05-23T00:00:00.000,OBJ_0204,6.91,GENERAL_USER,41,0,0.0086,174,us-east-1,WARM
2025-07-29T00:00:00.000,OBJ_1461,8.7,GENERAL_USER,15,1,0.0307,133,us-east-1,WARM
2025-04-25T00:00:00.000,OBJ_0062,10.39,LOGS,112,0,0.0135,69,us-west-2,HOT
2025-03-06T00:00:00.000,OBJ_1220,9.19,GENERAL_USER,210,0,0.008,56,us-east-1,HOT
2025-07-24T00:00:00.000,OBJ_1006,209.1,LOGS,4,0,0.0188,143,eu-west-1,WARM
2025-06-11T00:00:00.000,OBJ_0006,583.37,ARCHIVE_DOC,32,0,0.0063,401,us-east-1,WARM
2025-05-28T00:00:00.000,OBJ_1378,22.01,LOGS,20,1,0.0145,64,us-west-2,WARM
2025-08-20T00:00:00.000,OBJ_0433,160.18,ARCHIVE_DOC,6,0,0.0069,389,eu-west-1,WARM
2025-03-15T00:00:00.000,OBJ_1387,568.08,DB_TRANS,91,0,0.0502,25,us-east-1,HOT
2025-04-22T00:00:00.000,OBJ_1341,54.85,DB_TRANS,196,0,0.1011,10,us-east-1,HOT
2025-08-03T00:00:00.000,OBJ_1477,102.44,LOGS,17,0,0.0199,123,us-east-1,WARM
2025-07-19T00:00:00.000,OBJ_1496,1202.62,ARCHIVE_DOC,25,0,0.007,383,us-east-1,WARM
2025-08-15T00:00:00.000,OBJ_1280,66.71,LOGS,11,2,0.0104,127,us-east-1,WARM
2025-04-10T00:00:00.000,OBJ_0411,10.11,LOGS,61,0,0.0148,88,us-east-1,WARM
2025-03-17T00:00:00.000,OBJ_0919,73.05,DB_TRANS,19,3,0.0753,39,us-east-1,WARM
2025-08-18T00:00:00.000,OBJ_1291,2297.32,LOGS,9,1,0.0149,80,us-west-2,WARM
2025-08-19T00:00:00.000,OBJ_0515,169.54,GENERAL_USER,5,0,0.0153,186,us-east-1,WARM
2025-07-17T00:00:00.000,OBJ_1298,81.54,LOGS,11,2,0.0158,93,us-west-2,WARM
2025-07-31T00:00:00.000,OBJ_0102,32.65,LOGS,8,1,0.009,147,us-west-2,COLD
2025-01-20T00:00:00.000,OBJ_0729,16.99,LOGS,231,0,0.0127,120,eu-west-1,HOT
2025-07-06T00:00:00.000,OBJ_1065,10.18,ARCHIVE_DOC,4,3,0.0078,224,us-east-1,WARM
2025-08-16T00:00:00.000,OBJ_0091,233.45,GENERAL_USER,22,0,0.0372,60,ap-southeast-1,WARM
2025-05-18T00:00:00.000,OBJ_0555,29.44,LOGS,16,0,0.0085,105,us-east-1,WARM
2025-05-05T00:00:00.000,OBJ_0069,20.75,ARCHIVE_DOC,334,0,0.0041,299,us-west-2,HOT
2025-06-04T00:00:00.000,OBJ_0251,216.33,ARCHIVE_DOC,28,0,0.0071,238,us-west-2,WARM
2025-03-04T00:00:00.000,OBJ_1392,1118.88,LOGS,85,0,0.0068,135,eu-west-1,HOT
2025-03-23T00:00:00.000,OBJ_1416,59.47,GENERAL_USER,413,0,0.0309,172,us-east-1,HOT
2025-03-22T00:00:00.000,OBJ_0839,39.61,DB_TRANS,68,0,0.0715,50,us-east-1,WARM
2025-04-21T00:00:00.000,OBJ_0226,60.12,LOGS,387,0,0.0054,135,eu-west-1,HOT
2025-04-10T00:00:00.000,OBJ_1399,20.38,ARCHIVE_DOC,17,0,0.0038,200,us-east-1,WARM
2025-05-16T00:00:00.000,OBJ_1200,65.88,ARCHIVE_DOC,23,3,0.005,472,us-west-2,WARM
2025-06-15T00:00:00.000,OBJ_0865,30.52,GENERAL_USER,5,0,0.046,24,us-west-2,WARM
2025-08-10T00:00:00.000,OBJ_1011,73.43,DB_TRANS,3,5,0.08,12,us-west-2,WARM
2025-05-29T00:00:00.000,OBJ_0229,151.32,GENERAL_USER,19,2,0.0124,38,us-west-2,WARM
2025-05-28T00:00:00.000,OBJ_0349,39.64,LOGS,15,1,0.0064,52,us-west-2,WARM
2025-08-14T00:00:00.000,OBJ_0125,1459.26,DB_TRANS,27,0,0.0694,27,us-west-2,WARM
2025-06-06T00:00:00.000,OBJ_1118,73.82,DB_TRANS,17,1,0.0471,35,us-west-2,WARM
2025-06-24T00:00:00.000,OBJ_0128,63.4,LOGS,16,1,0.0066,104,us-west-2,WARM
2025-05-18T00:00:00.000,OBJ_1373,4.85,DB_TRANS,69,1,0.1009,10,eu-west-1,HOT
2025-04-12T00:00:00.000,OBJ_0263,11.74,LOGS,33,1,0.0072,68,eu-west-1,WARM
2025-08-14T00:00:00.000,OBJ_1312,439.36,GENERAL_USER,15,0,0.0323,146,ap-southeast-1,WARM
2025-05-10T00:00:00.000,OBJ_1432,198.48,LOGS,48,0,0.0055,88,eu-west-1,WARM
2025-08-10T00:00:00.000,OBJ_0427,152.79,DB_TRANS,10,1,0.1049,12,us-west-2,WARM
2025-07-07T00:00:00.000,OBJ_0299,140.39,DB_TRANS,17,0,0.0842,46,us-east-1,WARM
2025-08-16T00:00:00.000,OBJ_0121,13.96,DB_TRANS,15,0,0.085,25,us-west-2,COLD
2025-02-26T00:00:00.000,OBJ_0189,5.63,DB_TRANS,76,0,0.0462,18,us-east-1,HOT
2025-05-10T00:00:00.000,OBJ_0039,73.35,GENERAL_USER,8,5,0.0361,95,ap-southeast-1,WARM
2025-05-21T00:00:00.000,OBJ_0849,24.62,LOGS,107,0,0.0194,64,us-west-2,WARM
2025-07-29T00:00:00.000,OBJ_0004,38.43,LOGS,8,0,0.0064,109,us-east-1,WARM
2025-02-05T00:00:00.000,OBJ_0930,23.74,DB_TRANS,319,0,0.0496,44,us-west-2,HOT
2025-06-16T00:00:00.000,OBJ_1322,49.12,LOGS,22,0,0.0051,136,ap-southeast-1,WARM
2025-05-18T00:00:00.000,OBJ_0528,80.61,DB_TRANS,164,0,0.0972,39,us-west-2,HOT
2025-07-21T00:00:00.000,OBJ_0425,425.36,DB_TRANS,416,1,0.1001,26,us-east-1,WARM
2025-05-02T00:00:00.000,OBJ_0380,15.49,LOGS,21,0,0.0133,72,us-east-1,WARM
2025-06-23T00:00:00.000,OBJ_0255,26.41,GENERAL_USER,19,0,0.0393,173,eu-west-1,WARM
2025-04-29T00:00:00.000,OBJ_0193,8.43,DB_TRANS,18,0,0.1031,31,eu-west-1,WARM
2025-05-05T00:00:00.000,OBJ_0921,11.71,LOGS,17,0,0.0177,63,us-east-1,WARM
2025-06-04T00:00:00.000,OBJ_1499,132.79,LOGS,19,0,0.0149,80,ap-southeast-1,WARM
2025-07-01T00:00:00.000,OBJ_0734,255.63,DB_TRANS,9,1,0.0261,8,us-west-2,WARM
2025-01-22T00:00:00.000,OBJ_1000,445.43,ARCHIVE_DOC,289,0,0.0014,143,eu-west-1,HOT
2025-07-14T00:00:00.000,OBJ_0847,2171.02,ARCHIVE_DOC,28,4,0.0058,351,us-east-1,WARM
2025-05-07T00:00:00.000,OBJ_1385,85.54,LOGS,95,0,0.0056,70,eu-west-1,WARM
2025-07-28T00:00:00.000,OBJ_0209,17660.7,GENERAL_USER,21,2,0.0293,100,us-east-1,WARM
2025-04-18T00:00:00.000,OBJ_1384,166.19,DB_TRANS,66,2,0.1159,44,us-west-2,WARM
2025-04-11T00:00:00.000,OBJ_0049,3.88,LOGS,265,0,0.0071,58,us-east-1,HOT
2025-03-26T00:00:00.000,OBJ_0049,3.88,LOGS,155,0,0.0071,58,us-east-1,HOT
2025-05-30T00:00:00.000,OBJ_0829,35.78,GENERAL_USER,21,1,0.0187,144,us-east-1,WARM
2025-08-15T00:00:00.000,OBJ_0124,131.67,LOGS,17,2,0.0056,107,us-west-2,WARM
2025-08-07T00:00:00.000,OBJ_0242,116.45,DB_TRANS,18,0,0.0433,43,us-east-1,WARM
2025-03-31T00:00:00.000,OBJ_0151,91.81,DB_TRANS,202,0,0.1096,41,us-east-1,HOT
2025-04-14T00:00:00.000,OBJ_1194,5.01,GENERAL_USER,111,0,0.0447,122,us-west-2,HOT
2025-07-12T00:00:00.000,OBJ_1202,65.59,DB_TRANS,18,2,0.1029,7,eu-west-1,WARM
2025-07-16T00:00:00.000,OBJ_0426,12.84,LOGS,24,2,0.0086,72,eu-west-1,WARM
2025-06-18T00:00:00.000,OBJ_0214,34.03,LOGS,15,6,0.0157,94,us-west-2,WARM
2025-05-28T00:00:00.000,OBJ_0626,12.37,LOGS,4,1,0.0169,150,us-east-1,WARM
2025-06-03T00:00:00.000,OBJ_1268,18.11,DB_TRANS,4,3,0.0699,43,us-west-2,WARM
2025-06-06T00:00:00.000,OBJ_0262,0.42,DB_TRANS,17,0,0.051,24,us-west-2,WARM
2025-05-14T00:00:00.000,OBJ_1433,22.77,DB_TRANS,12,0,0.0358,8,us-west-2,WARM
2025-04-23T00:00:00.000,OBJ_0957,108.32,DB_TRANS,346,0,0.0718,6,us-east-1,HOT
2025-05-04T00:00:00.000,OBJ_0162,310.41,ARCHIVE_DOC,39,0,0.0026,496,us-west-2,WARM
2025-01-25T00:00:00.000,OBJ_0639,7.83,DB_TRANS,298,0,0.1065,49,eu-west-1,HOT
2025-07-22T00:00:00.000,OBJ_0690,31.77,LOGS,12,2,0.0093,87,ap-southeast-1,WARM
2025-01-14T00:00:00.000,OBJ_0742,21.39,LOGS,0,0,0.0179,124,us-west-2,HOT
2025-08-04T00:00:00.000,OBJ_0095,6.08,DB_TRANS,3,4,0.083,50,ap-southeast-1,COLD
2025-05-21T00:00:00.000,OBJ_0236,2.62,LOGS,80,0,0.012,55,us-east-1,WARM
2025-03-11T00:00:00.000,OBJ_0833,17.26,DB_TRANS,41,1,0.0878,19,us-east-1,WARM
2025-04-27T00:00:00.000,OBJ_0972,192.67,LOGS,53,0,0.0068,119,us-west-2,WARM
2025-02-20T00:00:00.000,OBJ_1330,542.47,DB_TRANS,679,0,0.0975,29,us-east-1,HOT
2025-08-03T00:00:00.000,OBJ_0198,59.58,ARCHIVE_DOC,11,2,0.0024,120,us-east-1,WARM
